subset	pipelineCnts	transcripts	rate	cumulativeCnt	cumulativeRate
novelEval	33	2	0.0312	64	1
novelSupported	1	13	0.22	13	0.22
novelSupported	2	2	0.0339	15	0.254
novelSupported	6	2	0.0339	17	0.288
novelSupported	7	3	0.0508	20	0.339
novelSupported	8	1	0.0169	21	0.356
novelSupported	9	1	0.0169	22	0.373
novelSupported	10	1	0.0169	23	0.39
novelSupported	11	3	0.0508	26	0.441
novelSupported	13	1	0.0169	27	0.458
novelSupported	14	2	0.0339	29	0.492
novelSupported	16	1	0.0169	30	0.508
novelSupported	17	2	0.0339	32	0.542
novelSupported	18	3	0.0508	35	0.593
novelSupported	20	1	0.0169	36	0.61
novelSupported	22	1	0.0169	37	0.627
novelSupported	23	2	0.0339	39	0.661
novelSupported	24	4	0.0678	43	0.729
novelSupported	25	1	0.0169	44	0.746
novelSupported	26	2	0.0339	46	0.78
novelSupported	27	3	0.0508	49	0.831
novelSupported	28	2	0.0339	51	0.864
novelSupported	29	1	0.0169	52	0.881
novelSupported	30	1	0.0169	53	0.898
novelSupported	31	1	0.0169	54	0.915
novelSupported	32	3	0.0508	57	0.966
novelSupported	33	2	0.0339	59	1
novelUnsupported	1	3	0.6	3	0.6
novelUnsupported	5	1	0.2	4	0.8
novelUnsupported	9	1	0.2	5	1
